Date,Avg
2021-01-29,217.820007
2021-02-01,214.699997
2021-02-02,215.600006
2021-02-03,217.220001
2021-02-04,218.699997
2021-02-05,220.679993
2021-02-08,223.039993
2021-02-09,227.100006
2021-02-10,227.979996
2021-02-11,223.490005
2021-02-12,220.600006
2021-02-15,228.490005
2021-02-16,230.000000
2021-02-17,232.320007
2021-02-18,229.000000
2021-02-19,226.009995
2021-02-22,226.539993
2021-02-24,224.419998
2021-02-25,222.580002
2021-02-26,220.559998
2021-03-01,221.259995
2021-03-02,220.000000
2021-03-03,223.020004
2021-03-04,221.899994
2021-03-05,222.009995
2021-03-09,227.500000
2021-03-10,231.869995
2021-03-11,232.889999
2021-03-12,232.000000
2021-03-15,234.979996
2021-03-16,237.300003
2021-03-17,233.850006
2021-03-18,230.000000
2021-03-19,222.750000
2021-03-22,225.139999
2021-03-23,221.199997
2021-03-24,222.350006
2021-03-25,224.199997
2021-03-26,225.699997
2021-03-29,226.789993
2021-03-30,228.949997
2021-03-31,226.399994
2021-04-01,228.399994
2021-04-02,227.000000
2021-04-05,227.919998
2021-04-06,226.000000
2021-04-07,226.000000
2021-04-08,224.839996
2021-04-09,224.199997
2021-04-12,220.979996
2021-04-13,223.000000
2021-04-14,227.770004
2021-04-15,230.100006
2021-04-16,235.490005
2021-04-19,234.500000
2021-04-20,231.559998
2021-04-21,230.000000
2021-04-22,230.679993
2021-04-23,231.289993
2021-04-26,233.000000
2021-04-27,233.410004
2021-04-28,232.550003
2021-04-29,234.070007
2021-04-30,230.110001
2021-05-04,232.199997
2021-05-05,234.210007
2021-05-06,237.899994
2021-05-07,243.490005
2021-05-10,242.350006
2021-05-11,240.240005
2021-05-12,242.009995
2021-05-13,242.300003
2021-05-14,248.000000
2021-05-17,250.000000
2021-05-18,256.100006
2021-05-19,263.899994
2021-05-20,260.799988
2021-05-21,260.040009
2021-05-24,258.579987
2021-05-25,262.309998
2021-05-26,260.519989
2021-05-27,261.980011
2021-05-28,263.790009
2021-05-31,261.000000
2021-06-01,261.970001
2021-06-02,264.049988
2021-06-03,272.309998
2021-06-04,271.989990
2021-06-07,274.010010
2021-06-08,275.350006
2021-06-09,275.980011
2021-06-10,275.489990
2021-06-11,276.250000
2021-06-14,277.559998
2021-06-15,279.920013
2021-06-16,272.899994
2021-06-17,270.899994
2021-06-18,271.540009
2021-06-21,269.690002
2021-06-22,273.500000
2021-06-23,277.890015
2021-06-24,278.200012
2021-06-25,277.799988
2021-06-28,277.220001
2021-06-29,276.119995
2021-06-30,277.269989
2021-07-01,281.850006
2021-07-02,285.589996
2021-07-05,286.000000
2021-07-06,292.079987
2021-07-07,293.890015
2021-07-08,296.450012
2021-07-09,293.500000
2021-07-12,295.510010
2021-07-13,297.750000
2021-07-14,282.890015
2021-07-15,284.579987
2021-07-16,279.220001
2021-07-19,277.109985
2021-07-20,276.779999
2021-07-21,277.320007
2021-07-22,283.500000
2021-07-23,283.200012
2021-07-26,277.369995
2021-07-27,280.179993
2021-07-28,277.880005
2021-07-29,283.970001
2021-07-30,285.019989
2021-08-02,287.880005
2021-08-03,286.750000
2021-08-04,287.880005
2021-08-05,287.329987
2021-08-06,285.260010
2021-08-09,282.250000
2021-08-10,288.000000
2021-08-11,288.970001
2021-08-12,290.260010
2021-08-13,292.700012
2021-08-16,291.470001
2021-08-17,295.000000
2021-08-18,299.000000
2021-08-19,293.459991
2021-08-20,293.799988
